idx,text,created_at,tm_a,tm_h,estimated_followers_count_a,estimated_followers_count_h,g_a,g_h,xg_a,xg_h,estimated_followers_count,favorite_count,retweet_count,favorite_pred,retweet_pred,favorite_diff,retweet_diff,total_diff,total_diff_frac
11,⭐️ Everton (2.10) 1-1 (1.13) Man Utd,2020-03-01T16:11:28Z,Man United,Everton,,2270811.720524202,1,1,1.13,2.1,31568,10,3,8.723634786831537,0.3305571198149222,1.2763652131684626,2.669442880185078,11.593749864176353,0.8918269126289502
2,⭐️ Chelsea (1.02) 0-2 (0.64) Man United,2020-02-17T21:56:25Z,Man United,Chelsea,,15312378.892122136,2,0,0.64,1.02,30243,301,55,86.99153022816968,14.652839108748013,214.00846977183033,40.34716089125199,290.9129938667462,0.8171713310863657
73,Southampton (0.61) 1-0 (3.79) Man City,2020-07-05T19:55:47Z,Man City,Southampton,8804244.73575644,1276822.622542025,0,1,3.79,0.61,42586,879,120,140.19371981403327,36.049508894147245,738.8062801859667,83.95049110585276,779.680617639614,0.7804610787183323
167,Brighton (3.03) 2-3 (1.91) Man Utd,2020-09-26T13:30:34Z,Man United,Brighton,,365932.03317063407,3,2,1.91,3.03,55835,6552,822,1593.460105883429,186.12765283377385,4958.539894116571,635.8723471662262,5526.885020060609,0.7495097667562529
120,Liverpool (1.32) 5-3 (2.57) Chelsea,2020-07-22T21:10:29Z,Chelsea,Liverpool,15608041.221791625,15992736.581310783,3,5,2.57,1.32,47398,1536,322,559.1759243447042,124.46890423879454,976.8240756552958,197.53109576120545,1382.1174684501889,0.7438737720399294
180,Leeds (2.67) 1-1 (1.44) Man City,2020-10-03T18:21:25Z,Man City,Leeds,8892810.955924785,663651.9554921346,1,1,1.44,2.67,57788,5112,568,1048.6094482925168,123.36481458188666,4063.390551707483,444.63518541811334,4218.837446797907,0.7427530716193499
86,Bournemouth (1.44) 0-0 (0.63) Tottenham,2020-07-09T19:03:29Z,Tottenham,Bournemouth,5379198.034021818,535505.4016495902,0,0,0.63,1.44,43702,87,19,36.105120825007035,7.922504656841733,50.894879174992965,11.077495343158267,75.20065513942309,0.7094401428247461
121,Arsenal (1.84) 3-2 (4.17) Watford,2020-07-26T16:59:16Z,Watford,Arsenal,716353.7781712206,16596580.598640194,2,3,4.17,1.84,47956,1018,186,449.2709231157186,64.35477798355662,568.7290768842814,121.64522201644338,831.6448097553262,0.6907348918233606
98,Wigan (1.71) 8-0 (0.92) Hull,2020-07-14T18:54:39Z,Hull,Wigan,,,0,8,0.92,1.71,45097,278,36,87.0402145435481,11.685297666879942,190.9597854564519,24.31470233312006,212.1429808304368,0.6756145886319643
42,Cardiff (0.28) 2-0 (2.05) Leeds,2020-06-21T12:58:17Z,Leeds,Cardiff,651404.6640580681,,0,2,2.05,0.28,39378,279,46,105.49159105267069,18.19750533637091,173.50840894732931,27.80249466362909,215.93246371319754,0.6644075806559924
